Country Name ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,-0.8,-0.6,0.2,0.9,4.3,6.6,5.8,8.7,24.1,-1.2,,4.0,5.5,2.9,2.9,3.9,1.2,3.0,2.9,2.5,1.9,2.9,2.9,5.3,..
Cameroon,1.2,4.4,2.8,0.6,0.2,2.0,5.1,0.9,5.3,3.0,,1.3,2.9,2.7,2.1,1.9,2.7,0.9,0.6,1.1,2.5,2.4,2.3,6.2,..
Canada,2.7,2.5,2.3,2.8,1.9,2.2,2.0,2.1,2.4,0.3,,1.8,2.9,1.5,0.9,1.9,1.1,1.4,1.6,2.3,1.9,0.7,3.4,6.8,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,,0.3,1.3,1.2,2.2,1.3,-2.3,-0.6,..,..,..,..,..,..,..
Central African Republic,3.2,3.8,2.3,4.1,-2.1,2.9,6.7,1.0,9.3,3.5,,1.5,1.2,5.5,7.0,14.9,1.4,4.9,4.2,1.6,2.7,1.7,4.3,5.6,..
Chad,3.8,12.4,5.2,-1.8,-5.4,7.9,8.0,-9.0,10.3,10.0,,-2.1,2.0,7.5,0.2,1.7,4.4,-0.8,-1.5,4.3,-1.0,4.5,-0.8,5.8,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,3.8,3.6,2.5,2.8,1.1,3.1,3.4,4.4,8.7,0.4,,1.4,3.3,3.0,1.8,4.7,4.3,3.8,2.2,2.4,2.6,3.0,4.5,11.6,..
China,0.3,0.7,-0.7,1.1,3.8,1.8,1.6,4.8,5.9,-0.7,,3.2,5.6,2.6,2.6,1.9,1.4,2.0,1.6,2.1,2.9,2.4,1.0,2.0,..
Colombia,9.2,8.0,6.4,7.1,5.9,5.1,4.3,5.5,7.0,4.2,,2.3,3.4,3.2,2.0,2.9,5.0,7.5,4.3,3.2,3.5,2.5,3.5,10.2,..
Comoros,..,5.6,3.5,3.8,4.5,3.0,3.4,4.5,1.7,4.4,,3.4,1.8,6.3,-4.3,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",513.9,359.9,31.5,12.9,4.0,21.3,13.1,16.9,17.3,2.8,,7.1,15.3,9.7,0.8,1.2,0.7,2.9,..,..,..,..,..,..,..
"Congo, Rep.",-0.9,0.1,4.4,-0.6,2.4,3.1,6.5,2.7,5.0,4.4,,0.4,1.8,5.0,4.6,0.9,3.2,3.2,0.5,1.2,2.2,1.8,1.7,3.0,..
Costa Rica,11.0,11.3,9.2,9.4,12.3,13.8,11.5,9.4,13.4,7.8,,5.7,4.9,4.5,5.2,4.5,0.8,0.0,1.6,2.2,2.1,0.7,1.7,8.3,..
Cote d'Ivoire,2.5,4.4,3.1,3.3,1.5,3.9,2.5,1.9,6.3,1.0,,1.2,4.9,1.3,2.6,0.4,1.3,0.7,0.7,0.4,-1.1,2.4,4.1,5.3,..
Croatia,4.6,3.8,1.7,1.8,2.1,3.3,3.2,2.9,6.1,2.4,,1.0,2.3,3.4,2.2,-0.2,-0.5,-1.1,1.1,1.5,0.8,0.2,2.6,10.8,..
Cuba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,..,1.8,0.4,1.6,1.4,4.1,3.1,3.0,6.9,1.8,,2.8,2.3,3.2,1.3,1.5,-0.5,0.0,1.6,2.6,2.6,..,..,..,..
Cyprus,4.1,2.0,2.8,4.1,2.3,2.6,2.3,2.4,4.7,0.3,,2.4,3.3,2.4,-0.4,-1.4,-2.1,-1.4,0.5,1.4,0.3,-0.6,2.4,8.4,..
Czechia,3.8,4.7,1.9,0.1,2.8,1.9,2.5,2.9,6.4,1.0,,1.5,1.9,3.3,1.4,0.3,0.3,0.7,2.5,2.1,2.8,3.2,3.8,15.1,..
Denmark,2.9,2.3,2.4,2.1,1.2,1.8,1.9,1.7,3.4,1.3,,2.3,2.8,2.4,0.8,0.6,0.5,0.3,1.1,0.8,0.8,0.4,1.9,7.7,..
Djibouti,..,1.7,0.6,2.0,3.1,3.1,3.5,5.0,12.0,1.7,,4.0,5.1,3.7,2.7,1.3,-0.8,2.7,0.6,0.1,3.3,1.8,1.2,5.2,..
Dominica,0.9,1.3,0.2,1.5,2.4,1.7,2.2,3.6,6.4,0.0,,3.0,1.1,1.4,0.0,0.8,-0.8,0.1,0.3,1.0,1.5,-0.7,..,..,..
Dominican Republic,7.7,8.9,5.2,27.4,51.5,4.2,7.6,6.1,10.6,1.4,,6.3,5.8,3.7,4.8,3.0,0.8,1.6,3.3,3.6,1.8,3.8,8.2,8.8,..
Ecuador,96.1,37.7,12.5,7.9,2.7,2.2,3.3,2.3,8.4,5.2,,3.6,4.5,5.1,2.7,3.6,4.0,1.7,0.4,-0.2,0.3,-0.3,0.1,3.5,..
"Egypt, Arab Rep.",2.7,2.3,2.7,4.5,11.3,4.9,7.6,9.3,18.3,11.8,,11.3,10.1,7.1,9.5,10.1,10.4,13.8,29.5,14.4,9.2,5.0,5.2,13.9,..
El Salvador,2.3,3.8,1.9,2.1,4.5,4.7,4.0,4.6,6.7,1.1,,1.2,5.1,1.7,0.8,1.1,-0.7,0.6,1.0,1.1,0.1,-0.4,3.5,7.2,..
Equatorial Guinea,4.8,8.8,7.6,7.3,4.2,5.6,4.4,2.8,6.6,4.7,,7.8,4.8,3.7,2.9,4.3,1.7,1.4,0.7,1.1,1.5,4.8,-0.1,4.8,..
Eritrea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,4.0,5.7,3.6,1.3,3.0,4.1,4.4,6.6,10.4,-0.1,,3.0,5.0,3.9,2.8,-0.1,-0.5,0.1,3.4,3.4,2.3,-0.4,4.7,19.4,..
Ethiopia,0.7,-8.2,0.7,13.7,3.3,10.0,12.3,17.2,44.4,8.5,,8.1,33.2,23.6,7.5,6.9,9.6,6.6,10.7,13.8,15.8,20.4,26.8,33.9,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,1.1,4.3,0.8,4.2,2.8,2.4,2.5,4.8,7.7,3.1,,3.7,7.3,3.4,2.9,0.5,1.4,3.9,3.3,4.1,1.8,-2.6,0.2,4.5,..
Finland,3.0,2.6,1.6,0.9,0.2,0.6,1.6,2.5,4.1,0.0,,1.2,3.4,2.8,1.5,1.0,-0.2,0.4,0.8,1.1,1.0,0.3,2.2,7.1,..
France,1.7,1.6,1.9,2.1,2.1,1.7,1.7,1.5,2.8,0.1,,1.5,2.1,2.0,0.9,0.5,0.0,0.2,1.0,1.9,1.1,0.5,1.6,5.2,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,0.5,2.1,0.0,2.2,0.4,3.7,-1.4,5.0,5.3,1.9,,1.5,1.3,2.7,0.5,4.7,-0.3,2.1,2.7,4.7,2.5,1.4,1.1,4.2,..
"Gambia, The",0.8,4.5,8.6,17.0,14.2,4.8,2.1,5.4,4.4,4.6,,5.0,4.8,4.3,5.7,5.9,6.8,7.2,8.0,6.5,7.1,5.9,7.4,11.5,..
Georgia,4.1,4.6,5.6,0.8,5.7,8.2,9.2,9.2,10.0,1.7,,7.1,8.5,-0.9,-0.5,3.1,4.0,2.1,6.0,2.6,4.9,5.2,9.6,11.9,..
Germany,1.4,2.0,1.4,1.0,1.7,1.5,1.6,2.3,2.6,0.3,,1.1,2.1,2.0,1.5,0.9,0.5,0.5,1.5,1.7,1.4,0.1,3.1,6.9,..
Ghana,40.2,41.5,9.4,29.8,18.0,15.4,11.7,10.7,16.5,19.2,,10.7,8.7,11.2,11.7,15.5,17.1,17.5,12.4,7.8,7.1,9.9,10.0,31.3,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,3.2,3.4,3.6,3.5,2.9,3.5,3.2,2.9,4.2,1.2,,4.7,3.3,1.5,-0.9,-1.3,-1.7,-0.8,1.1,0.6,0.3,-1.2,1.2,9.6,..
Greenland,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,2.2,3.1,1.1,2.2,2.3,3.5,4.3,3.9,8.0,-0.3,,3.4,3.0,2.4,0.0,-1.0,-0.5,1.7,0.9,0.8,0.6,-0.7,1.2,2.6,..
Guam,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,6.0,7.3,8.1,5.6,7.6,9.1,6.6,6.8,11.4,1.9,,3.9,6.2,3.8,4.3,3.4,2.4,4.4,4.4,3.8,3.7,3.2,4.3,6.9,..
Guinea,..,..,..,..,..,31.4,34.7,18.2,23.1,4.7,,15.1,21.3,15.2,11.9,6.2,11.8,8.2,8.9,9.8,9.5,10.6,12.6,10.5,..
Guinea-Bissau,8.6,3.3,3.3,-3.5,0.9,3.3,2.0,4.6,10.5,-1.7,,2.5,5.0,2.1,1.2,-1.5,1.5,1.5,1.7,0.4,0.2,1.1,2.2,9.4,..
Guyana,6.1,2.6,5.3,6.0,4.7,6.9,6.7,12.2,8.1,3.0,,3.7,5.0,2.4,1.9,0.9,-1.0,0.8,1.9,1.3,2.1,1.0,5.0,6.1,..
Haiti,9.3,13.3,7.0,28.7,21.0,14.0,11.3,6.6,15.3,0.4,,4.8,6.3,5.0,4.8,3.4,6.7,11.5,10.7,12.5,18.7,22.8,16.8,34.0,..
Honduras,11.0,9.7,7.7,7.7,8.1,8.8,5.6,6.9,11.4,5.5,,4.7,6.8,5.2,5.2,6.1,3.2,2.7,3.9,4.3,4.4,3.5,4.5,9.1,..
"Hong Kong SAR, China",-3.7,-1.7,-3.0,-2.7,-0.3,0.8,2.0,2.0,4.3,0.6,,2.3,5.3,4.1,4.3,4.4,3.0,2.4,1.5,2.4,2.9,0.3,1.6,1.9,..
Hungary,9.8,9.1,5.3,4.7,6.7,3.6,3.9,8.0,6.0,4.2,,4.9,3.9,5.7,1.7,-0.2,-0.1,0.4,2.3,2.9,3.3,3.3,5.1,14.6,..
Iceland,5.1,6.4,5.2,2.1,3.2,4.0,6.7,5.1,12.7,12.0,,5.4,4.0,5.2,3.9,2.0,1.6,1.7,1.8,2.7,3.0,2.8,4.4,8.3,..
India,4.0,3.8,4.3,3.8,3.8,4.2,5.8,6.4,8.3,10.9,,12.0,8.9,9.5,10.0,6.7,4.9,4.9,3.3,3.9,3.7,6.6,5.1,6.7,..
Indonesia,3.7,11.5,11.9,6.8,6.1,10.5,13.1,6.4,10.2,4.4,,5.1,5.4,4.3,6.4,6.4,6.4,3.5,3.8,3.2,3.0,1.9,1.6,4.2,..
"Iran, Islamic Rep.",14.5,11.3,14.3,16.5,14.8,13.4,10.0,17.3,25.4,13.6,,10.1,26.3,27.3,36.6,16.6,12.5,7.2,8.0,18.0,39.9,30.6,43.4,43.5,..
Iraq,5.0,16.4,19.3,33.6,27.0,37.0,53.2,-10.1,12.7,6.9,,2.9,5.8,6.1,1.9,2.2,1.4,0.6,0.2,0.4,-0.2,0.6,6.0,5.0,..
Ireland,5.6,4.9,4.6,3.5,2.2,2.4,3.9,4.9,4.1,-4.5,,-0.9,2.6,1.7,0.5,0.2,-0.3,0.0,0.3,0.5,0.9,-0.3,2.4,7.8,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,1.0,1.2,5.8,0.7,-0.4,1.3,2.1,0.5,4.6,3.4,,2.7,3.5,1.7,1.6,0.5,-0.6,-0.6,0.3,0.8,0.8,-0.6,1.5,4.4,..
Italy,2.5,2.8,2.5,2.7,2.2,2.0,2.1,1.8,3.3,0.8,,1.5,2.8,3.0,1.2,0.2,0.0,-0.1,1.2,1.1,0.6,-0.1,1.9,8.2,..
Jamaica,8.2,6.8,7.1,10.1,13.6,15.1,8.6,9.2,22.0,9.6,,12.6,7.6,6.9,9.3,8.3,3.7,2.4,4.4,3.7,3.9,5.2,5.9,10.3,..
Japan,-0.7,-0.7,-0.9,-0.3,0.0,-0.3,0.2,0.1,1.4,-1.4,,-0.7,-0.3,0.0,0.3,2.8,0.8,-0.1,0.5,1.0,0.5,0.0,-0.2,2.5,..
Jordan,0.7,1.8,1.8,1.6,3.4,3.5,6.3,4.7,14.0,-0.7,,4.8,4.2,4.5,4.8,2.9,-0.9,-0.8,3.3,4.5,0.8,0.3,1.3,4.2,..
Kazakhstan,13.2,8.4,5.8,6.4,6.9,7.6,8.7,10.8,17.1,7.3,,7.4,8.4,5.1,5.8,6.7,6.7,14.5,7.4,6.0,5.2,6.8,8.0,..,..
Kenya,10.0,5.7,2.0,9.8,11.6,10.3,14.5,9.8,26.2,9.2,,4.0,14.0,9.4,5.7,6.9,6.6,6.3,8.0,4.7,5.2,5.4,6.1,7.7,..
Kiribati,..,..,..,..,..,..,..,3.6,13.7,9.8,,-3.9,1.5,-3.0,-1.5,2.1,0.6,1.9,0.4,0.6,-1.8,2.6,2.1,..,..
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",2.3,4.1,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1,..
Kosovo,..,..,..,-1.1,-1.1,-1.4,0.6,4.4,9.4,-2.4,,3.5,7.3,2.5,1.8,0.4,-0.5,0.3,1.5,1.1,2.7,0.2,3.4,11.6,..
Kuwait,1.8,1.3,0.9,1.0,1.2,4.1,3.1,5.5,10.6,4.6,,4.5,4.8,3.3,2.7,2.9,3.3,3.2,2.2,0.5,1.1,2.1,3.4,4.0,..
Kyrgyz Republic,18.7,6.9,2.1,3.0,4.1,4.3,5.6,10.2,24.5,6.8,,8.0,16.6,2.8,6.6,7.5,6.5,0.4,3.2,1.5,1.1,6.3,11.9,13.9,..
Lao PDR,25.1,7.8,10.6,15.5,10.5,7.2,6.5,4.7,7.6,0.1,,6.0,7.6,4.3,6.4,4.1,1.3,1.6,0.8,2.0,3.3,5.1,3.8,23.0,..
Latvia,2.7,2.5,1.9,2.9,6.2,6.7,6.5,10.1,15.4,3.5,,-1.1,4.4,2.3,0.0,0.6,0.2,0.1,2.9,2.5,2.8,0.2,3.3,17.3,..
Lebanon,..,..,..,..,..,..,..,..,..,1.2,,4.0,5.0,6.6,4.8,1.9,-3.7,-0.8,4.3,6.1,3.0,84.9,154.8,171.2,..
Lesotho,6.1,-9.6,33.8,6.6,5.0,3.4,6.1,8.0,10.7,-16.9,,-2.4,5.0,6.1,4.9,5.4,3.2,6.6,4.4,4.8,5.2,5.0,6.0,8.3,..
Liberia,..,..,14.2,10.3,7.8,10.8,7.3,11.4,17.5,7.4,,7.3,8.5,6.8,7.6,9.9,7.7,8.8,12.4,23.6,..,..,..,..,..
Libya,-2.9,-8.8,-9.8,-2.2,-2.2,2.7,1.5,6.3,10.4,2.5,,2.8,15.5,6.1,2.6,2.4,10.4,25.9,25.8,13.2,-2.2,1.4,2.9,4.5,..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,1.0,1.4,0.3,-1.1,1.2,2.7,3.7,5.7,10.9,4.5,,1.3,4.1,3.1,1.0,0.1,-0.9,0.9,3.7,2.7,2.3,1.2,4.7,19.7,..
Luxembourg,3.2,2.7,2.1,2.0,2.2,2.5,2.7,2.3,3.4,0.4,,2.3,3.4,2.7,1.7,0.6,0.5,0.3,1.7,1.5,1.7,0.8,2.5,6.3,..
"Macao SAR, China",-1.6,-2.0,-2.6,-1.6,1.0,4.4,5.1,5.6,8.6,1.2,,2.8,5.8,6.1,5.5,6.0,4.6,2.4,1.2,3.0,2.8,0.8,0.0,1.0,..
North Macedonia,6.6,5.2,2.3,0.9,-0.4,0.5,3.2,2.3,8.3,-0.7,,1.5,3.9,3.3,2.8,-0.3,-0.3,-0.2,1.4,1.5,0.8,1.2,3.2,14.2,..
Madagascar,11.9,7.9,16.5,-1.7,14.0,18.4,10.8,10.3,9.3,9.0,,9.2,9.5,5.7,5.8,6.1,7.4,6.0,8.6,8.6,5.6,4.2,5.8,8.2,..
Malawi,29.6,22.7,14.7,9.6,11.4,15.4,14.0,8.0,8.7,8.4,,7.4,7.6,21.3,27.3,23.8,21.9,21.7,11.5,12.4,9.4,8.6,9.3,21.0,..
Malaysia,1.5,1.4,1.8,1.1,1.4,3.0,3.6,2.0,5.4,0.6,,1.6,3.2,1.7,2.1,3.1,2.1,2.1,3.9,0.9,0.7,-1.1,2.5,3.4,..
Maldives,-1.2,0.7,4.2,-1.3,-1.7,1.3,2.7,6.8,12.0,4.5,,6.1,11.3,10.9,3.8,2.1,1.0,0.5,2.8,-0.1,0.2,-1.4,0.5,2.3,..
Mali,-0.7,5.2,5.0,-1.3,-3.1,6.4,1.5,1.4,9.2,2.5,,1.1,3.0,5.3,-0.6,0.9,1.5,-1.8,1.8,0.3,-1.7,0.4,3.9,9.6,..
Malta,2.4,2.9,2.2,1.3,2.8,3.0,2.8,1.2,4.3,2.1,,1.5,3.0,2.4,1.2,0.3,1.1,0.6,1.4,1.2,1.6,0.6,1.5,6.2,..
Marshall Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,3.3,4.7,3.9,5.2,10.4,12.1,6.2,7.3,7.3,2.2,,6.3,5.7,4.9,4.1,3.5,3.3,1.5,2.3,3.1,2.3,2.4,3.6,9.5,..
Mauritius,4.2,5.4,6.4,3.9,4.7,4.9,8.9,8.8,9.7,2.5,,2.9,6.5,3.9,3.5,3.2,1.3,1.0,3.7,3.2,0.4,2.6,4.0,10.8,..
Mexico,9.5,6.4,5.0,4.5,4.7,4.0,3.6,4.0,5.1,5.3,,4.2,3.4,4.1,3.8,4.0,2.7,2.8,6.0,4.9,3.6,3.4,5.7,7.9,..
"Micronesia, Fed. Sts.",2.2,0.5,-0.1,0.1,2.3,4.3,4.6,3.3,8.4,6.4,,3.3,5.1,5.0,1.8,0.7,-0.3,-1.0,0.6,1.5,1.9,0.6,3.2,5.4,..
Moldova,31.3,9.8,5.3,11.7,12.5,12.0,12.8,12.4,12.8,-0.1,,7.5,7.7,4.5,4.6,5.1,9.7,6.4,6.6,3.0,4.8,3.8,5.1,28.7,..
Monaco,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,11.6,6.3,0.9,5.1,8.2,12.7,5.1,9.6,28.0,7.6,,10.0,8.4,14.3,10.5,12.3,5.7,0.7,4.3,6.8,7.3,3.8,7.4,15.1,..
Montenegro,..,..,..,..,..,..,2.9,4.3,8.8,3.5,,0.7,3.5,4.1,2.2,-0.7,1.5,-0.3,2.4,2.6,0.4,-0.3,2.4,13.0,..
Morocco,1.9,0.6,2.8,1.2,1.5,1.0,3.3,2.0,3.7,1.0,,1.0,0.9,1.3,1.9,0.4,1.6,1.6,0.8,1.8,0.3,0.7,1.4,6.7,..
Mozambique,..,..,..,..,..,6.4,13.2,8.5,14.5,3.8,,12.4,11.2,2.6,4.3,2.6,3.6,17.4,15.1,3.9,2.8,3.5,6.4,10.3,..
Myanmar,-0.1,21.1,57.1,36.6,4.5,9.4,20.0,35.0,26.8,1.5,,7.7,5.0,1.5,5.6,5.0,9.5,6.9,4.6,6.9,8.8,..,..,..,..
Namibia,..,..,..,7.1,4.1,2.3,5.0,6.5,9.1,9.5,,4.9,5.0,6.7,5.6,5.4,3.4,6.7,6.1,4.3,3.7,2.2,3.6,6.1,..
Nauru,..,..,..,..,..,..,..,..,..,..,,..,0.3,-0.1,..,..,..,..,..,..,..,..,..,..,..
Nepal,2.5,2.7,3.0,5.7,2.8,6.8,6.9,2.3,9.9,11.1,,9.3,9.2,9.5,9.0,8.4,7.9,8.8,3.6,4.1,5.6,5.1,4.1,7.7,..
Netherlands,2.4,4.2,3.3,2.1,1.3,1.7,1.1,1.6,2.5,1.2,,1.3,2.3,2.5,2.5,1.0,0.6,0.3,1.4,1.7,2.6,1.3,2.7,10.0,..
New Caledonia,..,..,..,..,..,..,..,..,..,..,,..,2.4,1.7,1.3,0.2,0.6,0.6,..,..,..,..,..,..,..
New Zealand,2.6,2.6,2.7,1.8,2.3,3.0,3.4,2.4,4.0,2.1,,2.3,4.0,1.1,1.1,1.2,0.3,0.6,1.9,1.6,1.6,1.7,3.9,7.2,..
Nicaragua,7.1,6.0,3.8,5.3,8.5,9.6,9.1,11.1,19.8,3.7,,5.5,8.1,7.2,7.1,6.0,4.0,3.5,3.9,4.9,5.4,3.7,4.9,10.5,..
Niger,2.9,4.0,2.6,-1.6,0.3,7.8,0.0,0.1,11.3,0.6,,0.8,2.9,0.5,2.3,-0.9,-0.6,1.7,2.8,3.0,-2.5,2.9,3.8,4.2,..
Nigeria,6.9,18.9,12.9,14.0,15.0,17.9,8.2,5.4,11.6,12.5,,13.7,10.8,12.2,8.5,8.0,9.0,15.7,16.5,12.1,11.4,13.2,17.0,18.8,..
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
